recrd,vesslterms,feature_type,chart,latdec,londec,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17322",57.6620788,-136.0946038,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17322",57.612355,-136.133004,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17331",56.2538478,-134.6503202,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17331",56.254432,-134.648336,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17331",56.2536348,-134.650073,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17331",56.254019,-134.649606,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17362",57.4732684,-133.9351903,,18.2,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17367",57.0781708,-132.7989036,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17370",56.6089607,-134.2126352,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17370",56.6179893,-134.187136,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16712",60.719757,-147.417515,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16662",60.516213,-151.346957,,5.1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16665",61.2944861,-149.914236,,,,,,depth unknown,covers and uncovers
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.6091268,-151.4358916,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.6104645,-151.4383088,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.6102251,-151.4378285,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16646",59.3201991,-151.9929969,,8.8,,,,value reported (not confirmed),always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.3442222,-151.8216321,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16646",59.3202083,-151.9765228,,8.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16646",59.3466794,-152.0033635,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4460678,-151.7400253,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4454832,-151.7377579,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4332375,-151.7140921,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4367711,-151.709825,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4296672,-151.7151562,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4487898,-151.7443124,,,,,Wrecks,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.412357,-151.7188801,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,H-11351",60.8990222,-146.7026361,,,,,Wrecks,,always dry
